name,category,latitude,longitude,address,phone,website,google_maps_url,rating,review_count,price_level,hours,open_now,types,place_id
Hotel Altamira Mazunte,Restaurants,15.6635866,-96.5573295,"Camino a Punta Cometa S/N, 70946 Mazunte, Oax., Mexico",958 688 3800,https://altamiramazunte.com/,https://maps.google.com/?cid=12309439154860407205,4.4,394,N/A,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,False,,ChIJmQ4N5T8ouYURpTm9cbHp06o
Paraíso del Pescador,Restaurants,15.6654381,-96.54441059999999,"San Agustinillo Tonameca . calle principal s/n col centro, 70947 Mazunte, Oax., Mexico",958 589 9517,http://paraisodelpescador.tuhotel.com.mx/,https://maps.google.com/?cid=13709901487590404392,4,342,N/A,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,False,,ChIJTcjEWTcouYURKPFsycNaQ74
Palapa Omar,Restaurants,15.6649815,-96.55369519999999,"70947 Santa María Tonameca, Oaxaca, Mexico",958 131 8626,N/A,https://maps.google.com/?cid=16728805299135862195,3.6,139,N/A,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 6:00 PM | Sunday: 7:00 AM – 6:00 PM,False,,ChIJYdK88j4ouYURs1WqW8mnKOg
Jalilh restaurante & bar,Restaurants,15.6649929,-96.5534837,"Andador carey Playa, 70947 Mazunte, Oax., Mexico",958 107 6567,N/A,https://maps.google.com/?cid=5847687204100691825,4.5,257,N/A,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 10:00 PM,False,,ChIJr8U_7T4ouYURcdcEnocoJ1E
El Pescador,Restaurants,15.6647534,-96.5543335,"playa principal Mazunte, 70209 Santa María Tonameca, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=3747820351293269074,4.1,207,$$,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 9:00 PM | Saturday: 7:00 AM – 9:00 PM | Sunday: 7:00 AM – 9:00 PM,False,,ChIJqcRoWT4ouYURUqTQsMDuAjQ
KAPRICHO,Restaurants,15.6640192,-96.5558009,"PLAYA RINCONCITO SN, 70947 Oax., Mexico",958 113 2895,https://www.facebook.com/KaprichoMazunte/?fref=ts,https://maps.google.com/?cid=1939488543105808809,3.3,6,N/A,N/A,Unknown,,ChIJZ95QNj4ouYURqfnC2Y1y6ho
Mazuntaco,Restaurants,15.6668755,-96.5527929,"México 175, 70947 Mazunte, Oax., Mexico",N/A,https://www.facebook.com/mazuntaco,https://maps.google.com/?cid=4065332138874176284,3,1,N/A,N/A,Unknown,,ChIJg5cgHzwouYURHAOTjwr2ajg
Doña Meche,Restaurants,15.6670939,-96.55571139999999,"Rinconcito, 70947 Mazunte, Oax., Mexico",958 109 8712,N/A,https://maps.google.com/?cid=13801636903347960837,3.5,282,N/A,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,False,,ChIJqbmS6T0ouYURBTz6rqNDib8
Gigantortas y pipas de agua don temo,Restaurants,15.6676657,-96.5532228,"México 175 26, 70947 Mazunte, Oax., Mexico",958 113 2316,http://www.purificadoragotadevida.amawebs.com/,https://maps.google.com/?cid=12758009583424734559,5,1,N/A,N/A,Unknown,,ChIJDyaTPjwouYURX4UPDR-ODbE
R La Tortuguita,Restaurants,15.6678567,-96.5534842,"Av. Principal s/n, Las Tortuguitas, 60946 Mazunte, Oax., Mexico",958 589 9016,N/A,https://maps.google.com/?cid=12060443598271667759,4.3,6,N/A,N/A,Unknown,,ChIJqzL7ODwouYURL96dvI1NX6c
El copal restaurant and hotel,Restaurants,15.6621459,-96.5596875,"mermejita manzunte, Av del Panteón, Arboledas del Sur, 70947 México, D.F., Mexico",55 5616 1607,N/A,https://maps.google.com/?cid=5884340425864420426,4.2,53,N/A,Monday: 7:30 AM – 10:30 PM | Tuesday: 7:30 AM – 10:30 PM | Wednesday: 7:30 AM – 10:30 PM | Thursday: 7:30 AM – 10:30 PM | Friday: 7:30 AM – 10:30 PM | Saturday: 7:30 AM – 10:30 PM | Sunday: 7:30 AM – 10:30 PM,False,,ChIJcbFf4RQouYURSpwe1XBgqVE
Panza Verde - Las Tres Marias,Restaurants,15.6664628,-96.54485120000001,"México 175 141, Jose Vasconcelos, 68115 Oaxaca de Juárez, Oax., Mexico",19581004044,N/A,https://maps.google.com/?cid=14735911989256283690,5,3,N/A,N/A,Unknown,,ChIJa7LWNzcouYURKmYKSeF5gMw
Casa Las Almas - Mazunte,Restaurants,15.6735364,-96.5586032,"La Huerta S/N, La Huerta, 70947 Mazunte, Oax., Mexico",273 116 3081,https://casalasalmas.com/,https://maps.google.com/?cid=3184757549711997662,4.7,53,N/A,N/A,Unknown,,ChIJDcQxPDwouYUR3rpTLh6IMiw
La Mora Posada,Restaurants,15.6657214,-96.5432903,"México 175 SN, 70947 San Agustinillo, Oax., Mexico",958 584 6422,http://www.lamoraposada.com/,https://maps.google.com/?cid=3173559783035419316,4.7,527,$$,Monday: 8:00 AM – 2:00 PM | Tuesday: Closed | Wednesday: 8:00 AM – 2:00 PM | Thursday: 8:00 AM – 2:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: 8:00 AM – 2:00 PM,False,,ChIJbcUN3zYouYURtLpK9c6_Ciw
Sociedad Cooperativa Lagarto Real,Restaurants,15.669083,-96.575875,"Playa Ventanilla Santa María Tonameca, Ventanilla, 70947 Santa María Tonameca, Oax., Mexico",19581306895,https://www.facebook.com/lagartoreal.ventanilla,https://maps.google.com/?cid=17248415060201555768,4.7,547,N/A,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,False,,ChIJwWFKVAgouYUROMfPeRyuXu8
Ofelia´s Inn,Restaurants,15.6629214,-96.5619949,"Cam. a Playa Mermejita s/n, 70947 Mazunte, Oax., Mexico",958 688 3976,https://ofelia.com.mx/,https://maps.google.com/?cid=6907150203804829156,4.4,86,N/A,N/A,Unknown,,ChIJpx27hRQouYUR5MUNxIMg218
Restaurante brisa,Restaurants,15.6649597,-96.5539211,"El mazunte Tonameca Pochutla Oaxaca Tonameca Pochutla, 70947 México, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=10577738218108638850,4.3,12,N/A,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,False,,ChIJBxglqKcpuYURglZwud2sy5I
Palapa El Arbolito,Restaurants,15.6648622,-96.55396429999999,"Carey, 70947 Mazunte, Oax., Mexico",958 142 6543,N/A,https://maps.google.com/?cid=17181955934955250959,3.7,34,N/A,Monday: 8:00 AM – 6:30 PM | Tuesday: 8:00 AM – 6:30 PM | Wednesday: 8:00 AM – 6:30 PM | Thursday: 8:00 AM – 6:30 PM | Friday: 8:00 AM – 6:30 PM | Saturday: 8:00 AM – 6:30 PM | Sunday: 8:00 AM – 6:30 PM,False,,ChIJH2KF8z4ouYURDyVskeORcu4
Tropicu,Restaurants,15.6647925,-96.5539371,"calle principal rumbo a la playa cerca de javier ziga rios, 70949 Mazunte, Oax., Mexico",777 193 2964,N/A,https://maps.google.com/?cid=17259228645562199340,5,4,N/A,Monday: 8:00 AM – 2:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 2:00 PM | Thursday: 8:00 AM – 2:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: 8:00 AM – 2:00 PM,False,,ChIJ5XAl244puYURLC37gwIZhe8
Palapa El Mazunte,Restaurants,15.6647361,-96.55427619999999,"Frente a playa principal Mazunte Playa principal, 70947 Mazunte, Oax., Mexico",55 3924 1128,https://m.facebook.com/story.php?story_fbid=951214531717107&id=129119520593283,https://maps.google.com/?cid=351598268330767238,4.1,198,N/A,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: 7:00 AM – 8:00 PM | Sunday: 7:00 AM – 8:00 PM,False,,ChIJpUW1G_4puYURhnN_H8Mg4QQ
La Vendimia,Cafes,15.6643121,-96.55586129999999,"Rinconcito localidad, 70949 Mazunte, Oax., Mexico",961 655 4759,N/A,https://maps.google.com/?cid=13426134512163889405,3.9,126,N/A,Monday: Open 24 hours | Tuesday: 4:00 – 11:00 PM | Wednesday: 4:00 – 11:00 PM | Thursday: Closed | Friday: 3:00 – 11:00 PM | Saturday: 4:00 – 11:00 PM | Sunday: 4:00 – 11:00 PM,True,,ChIJsTvQUykpuYUR_SAkQDQ2U7o
Umami - Barra de Cafe - Restaurante,Cafes,15.6666453,-96.5498843,"México 175 s/n, 70940 Mazunte, Oax., Mexico",N/A,https://umamisanagus.mx/,https://maps.google.com/?cid=13346226592908073568,4.8,244,N/A,Monday: 8:00 AM – 9:30 PM | Tuesday: 8:00 AM – 9:30 PM | Wednesday: 8:00 AM – 9:30 PM | Thursday: Closed | Friday: 8:00 AM – 9:30 PM | Saturday: 8:00 AM – 9:30 PM | Sunday: 8:00 AM – 9:30 PM,False,,ChIJSaTqwngpuYURYFoo-l9SN7k
Cafe Duva,Cafes,15.6667546,-96.5524167,"México 175 26, 70947 Mazunte, Oax., Mexico",477 413 5630,N/A,https://maps.google.com/?cid=16239745866915098385,4.3,38,N/A,N/A,Unknown,,ChIJ-a-H7DgpuYUREa8X-NIqX-E
Ícaro Café,Cafes,15.6665593,-96.5548675,"C. la Barrita, 70947 Mazunte, Oax., Mexico",444 223 2136,N/A,https://maps.google.com/?cid=1714579228533280027,4.9,214,N/A,Monday: Closed | Tuesday: 8:30 AM – 1:00 PM | Wednesday: 8:30 AM – 1:00 PM | Thursday: 8:30 AM – 1:00 PM | Friday: 8:30 AM – 1:00 PM | Saturday: 8:30 AM – 1:00 PM | Sunday: Closed,False,,ChIJvXXTt48puYURG039X7loyxc
Reverencia Cafe,Cafes,15.6661937,-96.5550796,"C. la Barrita, 70947 Mazunte, Oax., Mexico",N/A,https://www.instagram.com/reverenciacafe,https://maps.google.com/?cid=11587622134694830447,5,22,N/A,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,False,,ChIJA8xONiApuYURb2HwCfCAz6A
Ronald's Coconut Stand,Cafes,15.6647405,-96.5556166,"C. la Barrita, 70947 Mazunte, Oax., Mexico",958 111 0263,N/A,https://maps.google.com/?cid=17109906630275239709,3.5,13,N/A,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,True,,ChIJe7e3TzQpuYURHQ-olW2Zcu0
Orale Café,Cafes,15.6648944,-96.52518520000001,"C. las Casitas, Playa Zipolite, 70947 Arroyo tres, Oax., Mexico",958 117 7129,N/A,https://maps.google.com/?cid=17421884212371364825,4.8,623,$,Monday: 8:00 AM – 2:30 PM | Tuesday: Closed | Wednesday: Closed | Thursday: 8:00 AM – 2:30 PM | Friday: 8:00 AM – 2:30 PM | Saturday: 8:00 AM – 2:30 PM | Sunday: 8:00 AM – 2:30 PM,False,,ChIJtxmHAMcpuYUR2Zth1GL3xvE
El Cafecito,Cafes,15.666773,-96.55118089999999,"Avenida principal paseo del mazunte sin, A un lado de tienda palmira y verduleria lichita, Lote numero, 70946 Mazunte, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=17617677999187695667,4.4,60,N/A,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: 8:00 AM – 7:00 PM,False,,ChIJs97W4jsouYURMxjMPMyQfvQ
Panchatantra Café Cultural,Cafes,15.6678166,-96.5535955,"Centro deportivo, 70947 Mazunte, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=883491629821042498,4.9,85,N/A,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 11:00 PM | Saturday: 12:00 – 11:00 PM | Sunday: 12:00 – 11:00 PM,False,,ChIJB8ZXU7EpuYURQp-D1fTKQgw
Doña Jose,Cafes,15.6669733,-96.55148009999999,"paseo del mazunte, 70946 Mazunte, Oax., Mexico",958 111 8429,https://www.facebook.com/Restaurante-DO%C3%91A-JOSE-524330681096300/,https://maps.google.com/?cid=1198626979255425396,5,16,N/A,Monday: 8:00 – 9:00 AM | Tuesday: 8:00 – 9:00 AM | Wednesday: 8:00 – 9:00 AM | Thursday: 8:00 – 9:00 AM | Friday: 8:00 – 9:00 AM | Saturday: 8:00 – 9:00 AM | Sunday: 8:00 AM – 6:00 AM,True,,ChIJj2S3bvUpuYURdBm4FONgohA
Restaurante Solsticio,Cafes,15.6690732,-96.57605769999999,"Ventanilla, 70947 Oax., Mexico",958 174 3884,N/A,https://maps.google.com/?cid=14709405756298907959,3.6,14,N/A,N/A,Unknown,,ChIJjSsFolApuYURN1FIAZpOIsw
RestoBar del Fondo,Cafes,15.6655611,-96.54417930000001,"Avenida principal, centro, 70947 San Agustinillo, Oax., Mexico",958 272 2860,N/A,https://maps.google.com/?cid=5726362099542346354,4.9,137,N/A,Monday: 4:00 – 10:30 PM | Tuesday: 4:00 – 10:30 PM | Wednesday: 4:00 – 10:30 PM | Thursday: 4:00 – 10:30 PM | Friday: 4:00 – 10:30 PM | Saturday: 4:00 – 10:30 PM | Sunday: 4:00 – 10:30 PM,False,,ChIJRTzqlU8puYURckp7bv0feE8
Doba,Cafes,15.6667705,-96.5503552,"Av. Paseo del Mazunte SN, 70946 Mazunte, Oax., Mexico",81 2521 8751,https://linktr.ee/doba.mazunte,https://maps.google.com/?cid=15909691854136139509,4.8,330,N/A,Monday: 8:00 AM – 3:30 PM | Tuesday: 8:00 AM – 3:30 PM | Wednesday: 8:00 AM – 3:30 PM | Thursday: 8:00 AM – 3:30 PM | Friday: 8:00 AM – 3:30 PM | Saturday: 8:00 AM – 3:30 PM | Sunday: 8:00 AM – 3:30 PM,False,,ChIJcR7uab0puYUR9d61u3KUytw
Restaurant Lupita,Cafes,15.6657989,-96.54616469999999,"México 175 141, 68130 Oaxaca de Juárez, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=396038952824056268,2.9,19,N/A,N/A,Unknown,,ChIJKbM6F5QpuYURzKlLTFQDfwU
Mayahuel,Cafes,15.6664166,-96.5559779,"Rinconcito, 70947 Mazunte, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=8955229552058143144,3.2,141,N/A,N/A,Unknown,,ChIJ11VyCj4ouYURqJGBrNRdR3w
El sueño de Frida,Cafes,15.6659511,-96.54644139999999,"Playa San Agustinillo, México 175 141, 70946 San Agustinillo, Oax., Mexico",55 1902 6359,N/A,https://maps.google.com/?cid=3943172371170350872,4.8,253,$,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: Closed,False,,ChIJDXUjITcouYURGFe-N2H2uDY
Chirincoco Restaurant and Cafe,Cafes,15.6662024,-96.5440627,"C. Agustivino 10, 70947 San Agustinillo, Oax., Mexico",55 8561 0503,N/A,https://maps.google.com/?cid=10100946765231459172,4.7,63,N/A,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 8:30 AM – 1:30 PM | Friday: 8:30 AM – 1:30 PM | Saturday: 8:30 AM – 1:30 PM | Sunday: 8:30 AM – 1:30 PM,False,,ChIJCUMJtHApuYURZIvA3JDFLYw
Restaurante Cacao,Cafes,15.6666987,-96.5628852,"Camino de Mermejita Alta S/N, 70946 Mazunte, Oax., Mexico",951 319 8432,https://www.cocoliahotel.com/#gastronomia?utm_source=gmb&utm_medium=organic,https://maps.google.com/?cid=16778807848230807888,5,23,N/A,Monday: 8:00 AM – 10:30 PM | Tuesday: 8:00 AM – 10:30 PM | Wednesday: 8:00 AM – 10:30 PM | Thursday: 8:00 AM – 10:30 PM | Friday: 8:00 AM – 10:30 PM | Saturday: 8:00 AM – 10:30 PM | Sunday: 8:00 AM – 10:30 PM,False,,ChIJ0xm0AKUpuYURUGlVDNdM2ug
Nim San Agustinillo,Cafes,15.6661415,-96.54475920000002,"C. la Paz S/N, 70947 San Agustinillo, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=4408673865948258731,5,1,N/A,N/A,Unknown,,ChIJXw5omXopuYURq-Fk3oXBLj0
The trip (El viaje de Mar & Yeni),Cafes,15.6656677,-96.5558477,"El mazunte, Rinconcito, Palma Real, 70947 San Pedro Pochutla, Oax., Mexico",95800000,N/A,https://maps.google.com/?cid=683578449096826561,4.5,73,N/A,N/A,Unknown,,ChIJJRHAvm8puYURwV6HSvqOfAk
Tiburon Juice Bar,Juice Bars,15.6660847,-96.55581769999999,"calle rinconcito sin numero, mazunte, 70947 Mazunte, Oax., Mexico",81 1485 0305,https://www.facebook.com/eltiburonjuicebar/,https://maps.google.com/?cid=1596673924119442460,4.5,101,N/A,Monday: 8:00 AM – 3:30 PM | Tuesday: 8:00 AM – 3:30 PM | Wednesday: 8:00 AM – 3:30 PM | Thursday: 8:00 AM – 3:30 PM | Friday: 8:00 AM – 3:30 PM | Saturday: 8:00 AM – 3:30 PM | Sunday: 8:00 AM – 3:30 PM,False,,ChIJTyKHDD4ouYURHLREdXmGKBY
EL MAR,Bars,15.6638244,-96.55603389999999,"Calle Rinconcito Mazunte 68000 Mazunte, 70947 Oaxaca, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=9368934741570279713,3.7,3,N/A,Monday: 12:00 PM – 8:00 AM | Tuesday: 12:00 PM – 8:00 AM | Wednesday: 12:00 PM – 8:00 AM | Thursday: 12:00 PM – 10:00 AM | Friday: 12:00 PM – 10:00 AM | Saturday: 12:00 PM – 10:00 AM | Sunday: 12:00 PM – 8:00 AM,True,,ChIJ69NFEOgpuYURIdkcO4IkBYI
Wamba Cocktails Bar,Bars,15.6648378,-96.5543418,"70947 Mazunte, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=11121204102821690512,4.6,7,N/A,N/A,Unknown,,ChIJA84bt4spuYURkLxNdzV0Vpo
Bendita,Bars,15.6649668,-96.5560926,"Rinconcito s/n, 70946 Mazunte, Oax., Mexico",958 106 4624,N/A,https://maps.google.com/?cid=828951913208277854,4.8,33,N/A,Monday: Closed | Tuesday: Closed | Wednesday: 6:00 – 11:30 PM | Thursday: 6:00 – 11:30 PM | Friday: 6:00 – 11:30 PM | Saturday: 6:00 – 11:30 PM | Sunday: 6:00 – 11:30 PM,False,,ChIJIyBqreApuYURXuuogl8HgQs
La Bodega,Bars,15.6650372,-96.5558989,"Rinconcito, 70947 Mazunte, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=14702079068049606899,4.8,90,N/A,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: Closed,False,,ChIJvQbjx_YpuYUR84jNdgRHCMw
Mezcaleria La punta,Bars,15.668763,-96.55739179999999,"México 175 26, 70947 Mazunte, Oax., Mexico",N/A,N/A,https://maps.google.com/?cid=7629768268180758716,5,1,N/A,N/A,Unknown,,ChIJSy8eDCEpuYURvCB2z9Bh4mk
